03848P,國泰金元大03售02
076583,上証反中信06購01
065197,景碩元富06購01
077374,大毅元大05購02
05092P,台灣50凱基05售20
063283,華新科元大9C購03
074966,聯發科國泰06購03
076289,台聚統一06購02
3018,同開
3229,晟鈦
03265P,訊芯國票04售01
04875P,台灣50群益05售07
063940,國巨元大01購02
071917,聯發科元大03購12
078714,大立光永豐06購01
08709P,台積電台新01售02
04634P,聯發科凱基05售04
067033,新日興康和01購01
068045,滬深2X統一03購01
068554,上証2X元大01購07
072923,國巨元大05購02
073514,美律國票05購01
076745,萬海凱基05購03
077311,大立光富邦07購01
04558P,聯發科富邦06售02
068686,瑞儀中信02購01
072479,致伸永豐03購01
077560,聯電元大05購14
078929,中工永豐06購01
08839P,臺股指麥證01售06
1909,榮成
5880,合庫金
03109P,台積電元大01售41
03882P,臺股指元大04售15
066707,揚明光群益01購02
073951,富邦金凱基04購01
078226,晶碩永豐06購01
066080,台光電國泰03購01
066905,台積電凱基03購03
070842,為升永豐03購01
1525,江申
04511P,玉晶光國票06售07
05030P,萬海永豐05售04
065300,燿華元富9C購03
075419,上緯控元富0B購01
2453,凌群
05398P,聯發科元大06售11
065728,嘉晶凱基9C購04
068070,友達凱基05購01
068822,欣興元大02購04
073124,台達化元大04購01
079363,達運凱基06購01
063562,國巨元大9C購06
064856,GIS國泰02購01
066142,超眾群益01購03
067063,為升元大01購01
074485,美律兆豐04購01
071202,訊連國票04購01
073116,達麗元富08購01
074246,聯茂凱基04購01
060975,滬深2X元大01購02
065011,智邦國泰02購01
066178,拓凱凱基01購01
076285,國泰金兆豐05購01
077723,中磊元大06購01
069763,上証2X元大03購08
071960,T50反1群益03購05
077455,聯電國票06購06
078591,大立光元大06購04
079127,上銀國票07購02
079438,T50反1元富07購12
1326,台化
04557P,聯電富邦06售01
05342P,全新統一07售02
067888,奇力新群益01購02
070665,SP黃豆群益03購02
071328,群創統一03購03
077328,嘉澤永豐05購02
067949,緯穎國泰03購01
069439,華固康和02購01
075344,欣興群益05購06
078234,晶技元富0C購01
08718P,台灣50元大02售03
03249P,華擎元富04售01
065295,旭富群益9C購02
065885,神達元富9C購01
078503,精成科國票08購01
078590,大立光元大06購03
04589P,GIS元大05售01
08527P,大立光元大01售06
08684P,禾伸堂凱基01售01
04865P,長榮元富05售02
062569,南電中信01購01
070181,上銀群益03購02
077842,長榮元大06購03
068030,台積電元富07購10
068716,華通元大02購03
078318,國巨麥證06購01
078903,同欣電元大06購02
079296,群創元富07購03
04607P,友達元富05售02
068219,聯發科統一03購06
069737,強茂國泰04購01
069881,南電國票03購04
073988,華城元富06購01
064089,新日興凱基02購01
069411,奇力新統一04購01
070133,億光統一04購01
4555,氣立
066970,T50反1群益01購05
068517,大立光統一01購09
068715,為升元大02購01
070205,華碩元大02購06
073735,大立光國泰06購03
075405,欣興統一06購05
076806,景碩國票06購04
04088P,南電元大03售12
04200P,臺股指群益04售05
067743,緯創元大01購02
069792,致茂凱基02購01
070327,超眾兆豐03購02
074220,新日興元大04購03
078227,南茂永豐06購01
08658P,聯發科統一9C售19
2727,王品
04219P,祥碩國票05售03
067650,技嘉元富07購03
068997,T50反1兆豐03購01
070382,聯發科元富08購07
071608,台灣50元大04購03
074288,臺股指群益04購09
077047,奇力新永豐05購03
079264,嘉聯益元大06購06
020007,凱基臺灣500N
068221,聯發科統一05購01
068424,台灣50凱基04購11
072264,華夏群益03購02
078301,金寶兆豐07購01
079174,聯發科國泰08購03
066789,聯詠麥證01購01
071689,國巨國票05購02
078046,臺指反元大09購01
04107P,S&P正2中信05售02
068760,精元永豐02購01
069008,大立光兆豐03購01
071348,台積電國泰06購03
072513,S&P正2中信05購01
079592,國巨元富06購03
065052,南六凱基02購02
068602,智邦凱基01購01
069173,康舒元大02購02
072701,中租群益03購01
075651,聯發科群益05購01
03136P,大立光康和01售01
078119,富邦金元富0C購01
079423,矽創永豐06購01
00670L,富邦NASDAQ正2
067295,滬深2X元大01購11
072187,大成鋼群益04購01
